Time_Seconds,Backlog,Active_Workers,Throughput_Req_Sec,Latency_p50_ms,Latency_p95_ms,Latency_p99_ms
0,0,0,8,104.69,107.23,107.96
1,0,0,9,105.12,109.17,109.19
2,0,0,6,105.10,106.35,106.62
3,0,0,5,104.90,105.60,105.66
4,0,0,5,104.70,107.76,108.28
5,0,0,5,104.87,104.97,104.97
6,5,1,5,104.60,104.70,104.71
7,0,0,5,104.80,111.22,112.47
8,0,0,5,104.60,105.60,105.78
9,0,0,9,104.57,104.67,104.68
10,0,0,25,104.45,107.41,108.58
11,0,0,28,104.42,104.82,104.96
12,0,0,21,104.29,104.78,104.83
13,0,0,19,104.19,104.45,104.53
14,0,0,17,104.21,105.15,105.61
15,0,0,19,104.25,104.96,106.69
16,21,2,20,104.34,105.21,111.44
17,0,0,20,104.26,104.63,104.78
18,0,0,20,104.50,104.94,105.00
19,0,0,26,104.44,104.91,108.56
20,0,0,81,104.26,105.16,106.38
21,0,0,97,104.17,104.73,104.92
22,0,0,129,104.04,106.77,110.94
23,0,0,138,103.99,106.78,117.27
24,0,0,101,104.05,105.16,106.29
25,0,0,91,104.08,105.05,105.95
26,143,8,88,104.10,105.71,109.61
27,0,0,70,104.01,104.80,106.19
28,92,5,90,103.86,105.18,106.12
29,0,0,40,104.49,105.50,110.82
30,0,0,41,104.09,105.67,107.53
31,0,0,41,104.39,105.74,106.16
32,0,0,45,104.03,105.56,106.64
33,0,0,45,103.50,105.04,105.85
34,0,0,44,103.66,105.40,109.77
35,0,0,40,103.85,106.44,107.82
36,0,0,39,104.26,105.56,106.31
37,0,0,44,104.41,105.40,106.26
38,0,0,37,104.31,105.49,105.60
39,0,0,39,104.16,105.30,106.00
40,0,0,35,104.13,105.55,106.31
41,0,0,40,104.08,105.42,106.32
42,0,0,31,104.22,105.17,105.28
43,0,0,38,104.26,105.92,106.55
44,0,0,38,104.17,106.39,107.32
45,0,0,43,104.20,105.66,105.96
46,0,0,39,104.30,105.26,105.58
47,0,0,36,104.17,105.61,105.68
48,0,0,37,103.93,105.62,106.20
49,0,0,5,102.70,104.28,104.49
50,0,0,4,102.67,104.07,104.25
51,0,0,3,102.46,102.65,102.67
52,0,0,2,102.44,102.56,102.57
53,0,0,4,102.64,103.93,104.05
54,0,0,5,102.71,103.90,104.13
55,0,0,3,102.46,104.15,104.29
56,0,0,3,102.25,102.63,102.67
57,0,0,4,102.46,102.83,102.87
58,0,0,2,103.34,104.12,104.19
59,0,0,0,0.00,0.00,0.00
60,0,0,0,0.00,0.00,0.00
