Time_Seconds,Backlog,Active_Workers,Throughput_Req_Sec,Latency_p50_ms,Latency_p95_ms,Latency_p99_ms
0,0,0,9,102.57,103.13,103.35
1,0,0,9,102.75,103.13,103.22
2,0,0,7,102.58,102.62,102.64
3,0,0,5,102.55,102.67,102.68
4,0,0,5,102.56,102.65,102.65
5,0,0,5,102.54,102.73,102.76
6,0,0,5,102.66,102.67,102.67
7,0,0,5,102.61,102.63,102.63
8,10,1,9,102.59,102.74,102.76
9,0,0,9,102.58,102.70,102.73
10,0,0,18,103.69,105.13,105.50
11,0,0,19,102.68,104.78,104.87
12,0,0,27,103.26,104.90,105.02
13,0,0,29,103.08,104.60,104.71
14,0,0,27,103.04,104.83,105.75
15,0,0,22,102.86,104.50,104.66
16,0,0,20,103.06,104.78,104.91
17,0,0,20,103.12,104.66,104.76
18,15,1,24,103.04,104.61,104.87
19,0,0,27,103.14,104.80,105.07
20,11,1,85,104.11,105.15,108.81
21,0,0,91,104.16,104.63,107.36
22,0,0,132,103.97,104.80,111.60
23,0,0,135,103.96,104.74,107.97
24,0,0,138,103.98,104.75,105.34
25,0,0,138,103.97,104.59,105.36
26,0,0,116,104.04,105.35,106.05
27,0,0,99,104.00,104.84,107.35
28,126,7,60,104.04,104.93,108.20
29,0,0,50,121.16,205.11,209.35
30,97,5,49,106.75,138.02,155.58
31,0,0,46,104.12,104.91,105.06
32,0,0,49,104.33,105.26,106.19
33,0,0,48,104.33,109.89,111.36
34,0,0,49,104.07,105.46,106.62
35,0,0,50,104.41,105.80,106.74
36,0,0,47,104.32,105.26,105.39
37,0,0,36,103.80,105.02,105.23
38,0,0,48,104.24,105.64,106.35
39,0,0,49,103.69,105.21,105.46
40,0,0,48,104.31,105.42,109.36
41,0,0,49,104.34,105.60,106.15
42,0,0,49,104.05,105.16,105.50
43,0,0,48,104.08,104.66,104.79
44,0,0,50,104.38,105.25,106.75
45,0,0,48,104.24,105.20,105.36
46,0,0,47,104.05,104.95,108.45
47,0,0,50,104.14,104.87,105.13
48,0,0,24,103.02,104.97,106.25
49,0,0,5,102.95,104.12,104.15
50,0,0,5,103.03,104.05,104.08
51,0,0,5,103.02,104.27,104.29
52,0,0,5,102.86,104.00,104.00
53,0,0,5,103.92,105.24,105.42
54,0,0,5,103.16,104.30,104.33
55,0,0,5,102.76,104.28,104.30
56,0,0,5,103.08,104.29,104.31
57,0,0,5,103.17,104.21,104.23
58,0,0,0,0.00,0.00,0.00
